area (sq. meters), price (USD)
100, 5000
101, 5050
102, 5100
103, 5150
104, 5200
105, 5250
106, 5300
107, 5350
108, 5400
109, 5450
110, 5500
111, 5550
112, 5600
113, 5650
114, 5700
115, 5750
116, 5800
117, 5850
118, 5900
119, 5950
120, 6000
121, 6050
122, 6100
123, 6150
124, 6200
125, 6250
126, 6300
127, 6350
128, 6400
129, 6450
130, 6500
131, 6550
132, 6600
133, 6650
134, 6700
135, 6750
136, 6800
137, 6850
138, 6900
139, 6950
140, 7000
141, 7050
142, 7100
143, 7150
144, 7200
145, 7250
146, 7300
147, 7350
148, 7400
149, 7450
150, 7500
